State,Incident,Population
Alaska,7,731545
Arizona,143,7278717
Arkansas,8,3017804
California,524,39512223
Colorado,117,5758736
Connecticut,48,3565287
Delaware,10,973764
Florida,48,21477737
Georgia,76,10617423
Hawaii,30,1415872
Idaho,18,1787065
Illinois,34,12671821
Indiana,47,6732219
Iowa,6,3155070
Kansas,36,2913314
Kentucky,114,4467673
Louisiana,9,4648794
Maine,10,1344212
Maryland,7,6045680
Massachusetts,213,6892503
Michigan,313,9986857
Minnesota,59,5639632
Mississippi,6,2976149
Missouri,52,6137428
Montana,16,1068778
Nebraska,38,1934408
Nevada,27,3080156
New Hampshire,8,1359711
New Mexico,30,8882190
New York,164,2096829
North Carolina,132,19453561
North Dakota,14,10488084
Ohio,216,762062
Oklahoma,14,11689100
Oregon,116,3956971
Pennsylvania,28,4217737
Rhode Island,4,12801989
South Carolina,36,1059361
South Dakota,13,5148714
Tennessee,91,884659
Texas,300,6829174
Utah,12,28995881
Vermont,18,3205958
Virginia,102,623989
Washington,331,8535519
West Virginia,18,7614893
Wisconsin,39,1792147
Wyoming,4,5822434